ASIN,Copertina,Titolo,Autore,Data,Recensioni,Categoria
885804696X,https://m.media-amazon.com/images/I/71iDp2D8pUL._AC_UY218_.jpg,Instant geopolitica. Idee e teorie per vedere il mondo da una nuova prospettiva,Simone Guida,28 nov. 2023,298,Politica
8807880385,https://m.media-amazon.com/images/I/61rZ2orQAKL._AC_UY218_.jpg,Lungo cammino verso la libertà,Mandela,29 mar. 2022,297,Politica
8806222546,https://m.media-amazon.com/images/I/71GYIXW-DyL._AC_UY218_.jpg,Le guerre jugoslave. 1991-1999,Joze Pirjevec,4 giu. 2014,290,Politica
8891431265,https://m.media-amazon.com/images/I/71CdoU9ZrFL._AC_UY218_.jpg,Concorso 2293 RIPAM - 1250 Operatori e Assistenti Amministrativi (Cod. AMM) 579 Assistenti e operatori amministrativo contabili,AA.VV.,17 gen. 2022,288,Politica
8804789484,https://m.media-amazon.com/images/I/81s0dS6f1jL._AC_UY218_.jpg,La Cina è un'aragosta. Come sta cambiando il gigante asiatico,Giada Messetti,1 apr. 2025,287,Politica
8811605822,https://m.media-amazon.com/images/I/51+F-8veYIL._AC_UY218_.jpg,Io so,Pier Paolo Pasolini,31 ott. 2019,283,Politica
8817185434,https://m.media-amazon.com/images/I/61Y-OTTZ4UL._AC_UY218_.jpg,Vorrei chiederti di quel giorno. Vita e morte di un ragazzo che era mio padre,Lorenzo Tosa,23 gen. 2024,282,Politica
8804800496,https://m.media-amazon.com/images/I/71B3FE7qfXL._AC_UY218_.jpg,45 milioni di antifascisti. Il voltafaccia di una nazione che non ha fatto i conti con il Ventennio,Gianni Oliva,1 apr. 2025,280,Politica
8806253662,https://m.media-amazon.com/images/I/71tIwTHPBfL._AC_UY218_.jpg,La Resistenza delle donne,Benedetta Tobagi,25 ott. 2022,278,Politica
885668828X,https://m.media-amazon.com/images/I/71u8VcnS2DL._AC_UY218_.jpg,"Addio Emanuela. La vera storia del caso Orlandi. Il sequestro, i depistaggi, la soluzione",Maria Giovanna Maglie,20 set. 2022,273,Politica
8806240889,https://m.media-amazon.com/images/I/712qVlc8KJL._AC_UY218_.jpg,Homo sum. Essere «umani» nel mondo antico,Maurizio Bettini,5 mar. 2019,272,Politica
1798606364,https://m.media-amazon.com/images/I/61uCn8BWoWL._AC_UY218_.jpg,LIBERATORI SENZA GLORIA: I crimini alleati e le stragi partigiane: 5,Gianfredo Ruggiero,3 mar. 2019,269,Politica
8804778725,https://m.media-amazon.com/images/I/61zsdzy9ffL._AC_UY218_.jpg,"I figli dell'odio. La radicalizzazione di Israele, la distruzione della Palestina, l'umiliazione dell'Iran",Cecilia Sala,2 set. 2025,269,Politica
8804776463,https://m.media-amazon.com/images/I/51vwZddvh-L._AC_UY218_.jpg,La lezione del Giappone. Il Paese che anticipa le sfide dell'Occidente,Federico Rampini,14 ott. 2025,265,Politica
8830450723,https://m.media-amazon.com/images/I/71ZethJdjTL._AC_UY218_.jpg,Eroi di una guerra segreta. Le scomode verità delle «missioni di pace» italiane (Edizione italiano),Meo Ponte,20 set. 2018,265,Politica
8891439495,https://m.media-amazon.com/images/I/719P6-YGUZL._AC_UY218_.jpg,Concorsi Collaboratore e Assistente Amministrativo Aziende Sanitarie Locali – Manuale per la preparazione con modelli di atti e modulistica,AA.VV.,19 giu. 2024,258,Politica
8807898101,https://m.media-amazon.com/images/I/61CiKzzRgOL._AC_UY218_.jpg,Libera,Ypi,14 mar. 2023,255,Politica
889144359X,https://m.media-amazon.com/images/I/71Ie5paMyML._AC_UY218_.jpg,Concorso Ministero della Giustizia 2600 Assistenti a supporto della giurisdizione e dei servizi di cancelleria - Manuale per la preparazione,AA.VV.,6 ago. 2025,249,Politica
881718960X,https://m.media-amazon.com/images/I/61F95AJPAsL._AC_UY218_.jpg,Craxi. L'ultimo vero politico. I racconti e le immagini,Aldo Cazzullo,14 gen. 2025,248,Politica
8862508670,https://m.media-amazon.com/images/I/51F4HtF3S9L._AC_UY218_.jpg,Il sistema (in)visibile. Perché non siamo più padroni del nostro destino,Marcello Foa,7 ott. 2022,247,Politica
8869055884,https://m.media-amazon.com/images/I/71GXPfJMQOL._AC_UY218_.jpg,Cleopatra. La regina che sfidò Roma e conquistò l’eternità,Alberto Angela,5 dic. 2019,242,Politica
B00I0BYKOI,https://m.media-amazon.com/images/I/81izYk894UL._AC_UY218_.jpg,L'Anello della Repubblica: La scoperta di un nuovo servizio segreto. Dal fascismo alle Brigate rosse,Stefania Limiti,13 mar. 2014,238,Politica
8817185892,https://m.media-amazon.com/images/I/71CiZfmic5L._AC_UY218_.jpg,"E non scappare mai. Miriam Mafai, i segreti e le lotte nella tempesta della storia",Annalisa Cuzzocrea,13 mag. 2025,234,Politica
B0D5HRW8DP,https://m.media-amazon.com/images/I/717s1BowtIL._AC_UY218_.jpg,I padroni del mondo: Come i fondi finanziari stanno distruggendo il mercato e la democrazia,Alessandro Volpi,7 giu. 2024,233,Politica
8817147699,https://m.media-amazon.com/images/I/71DSq3zxYyL._AC_UY218_.jpg,La lista. Il ricatto alla Repubblica di Massimo Carminati,Lirio Abbate,26 mar. 2024,232,Politica
880626396X,https://m.media-amazon.com/images/I/61uvG4n+nML._AC_UY218_.jpg,Mein Kampf. Da Adolf Hitler,Stefano Massini,16 apr. 2024,229,Politica
8806219626,https://m.media-amazon.com/images/I/61QUgbet2yL._AC_UY218_.jpg,La Costituzione spiegata a mia figlia,Giangiulio Ambrosini,10 feb. 2014,229,Politica
8822782348,https://m.media-amazon.com/images/I/61cmZj2wheL._AC_UY218_.jpg,Il principe,Niccolò Machiavelli,4 lug. 2025,229,Politica
8862506791,https://m.media-amazon.com/images/I/81ZELOSEMxL._AC_UY218_.jpg,Gli stregoni della notizia. Atto secondo. Come si fabbrica informazione al servizio dei governi,Marcello Foa,14 mar. 2018,228,Politica
B07QHCFDQQ,https://m.media-amazon.com/images/I/61y6HOeBlvL._AC_UY218_.jpg,Gli ingegneri del caos: Teoria e tecnica dell’Internazionale populista,Giuliano Da Empoli,2 mag. 2019,227,Politica
B0FSH3GG2G,https://m.media-amazon.com/images/I/712vl9h+pnL._AC_UY218_.jpg,Nel nido dei serpenti,Zerocalcare,5 dic. 2025,223,Politica
B0G3X4WPQT,https://m.media-amazon.com/images/I/81UhOM4JLKL._AC_UY218_.jpg,La Russia non è il mio nemico (Smartbook),Alessandro Di Battista,30 nov. 2025,219,Politica
8804679271,https://m.media-amazon.com/images/I/71O+59mxuGL._AC_UY218_.jpg,La notte della Repubblica,Sergio Zavoli,19 lug. 2017,216,Politica
B0FDJ6TD51,https://m.media-amazon.com/images/I/81gqUdZzJJL._AC_UY218_.jpg,Il libro segreto di CasaPound,Paolo Berizzi,14 ott. 2025,209,Politica
B0F8RCYL6Z,https://m.media-amazon.com/images/I/81I1rzHnZCL._AC_UY218_.jpg,La Spia Paragina: Un'avvincente Storia di Amore e Perdita della Seconda Guerra Mondiale (Le Figlie della Resistenza Vol. 3),Hannah Byron,14 mag. 2025,203,Politica
8856699931,https://m.media-amazon.com/images/I/71ZPCntC+VL._AC_UY218_.jpg,Genocidio. Quello che rimane di noi nell'era neo-imperiale,Rula Jebreal,6 mag. 2025,196,Politica
B0DRYQWRY7,https://m.media-amazon.com/images/I/61fSkM+Zz0L._AC_UY218_.jpg,Concorso Agenzia delle Dogane e dei Monopoli 415 posti assistente amministrativo tributario. Manuale con teoria e quiz. Con software di simulazione,AA.VV,8 gen. 2025,193,Politica
B014JPE08E,https://m.media-amazon.com/images/I/71YdsFPemmL._AC_UY218_.jpg,Anatomia di un istante,Javier Cercas,3 set. 2015,190,Politica
8893235927,https://m.media-amazon.com/images/I/71AAVdU0rqL._AC_UY218_.jpg,Silvio. La vita vera di Berlusconi,Paolo Guzzanti,22 giu. 2023,187,Politica
8833315045,https://m.media-amazon.com/images/I/71mVwEzAg9L._AC_UY218_.jpg,La strage continua. La vera storia dell'omicidio di Mino Pecorelli,Raffaella Fanelli,8 ott. 2020,176,Politica
8832822539,https://m.media-amazon.com/images/I/71l9pkQGdKL._AC_UY218_.jpg,Non fatevi rubare la vita,José Pepe Mujica,22 mar. 2018,176,Politica
8891438340,https://m.media-amazon.com/images/I/61UwRp3+vDL._AC_UY218_.jpg,"Costituzione della Repubblica Italiana. Testo integrale aggiornato alla legge costituzionale 26 settembre 2023, n. 1 in materia di attività sportiva",Pietro Emanuele,21 mar. 2024,175,Politica
8858054490,https://m.media-amazon.com/images/I/81tGgA0PBWL._AC_UY218_.jpg,Il destino dei popoli. Come l'umanità ha fatto la storia e creato il nostro tempo,Dario Fabbri,14 ott. 2025,174,Politica
8858151801,https://m.media-amazon.com/images/I/61kTJZYe8fL._AC_UY218_.jpg,La democrazia. Storia di un'ideologia,Luciano Canfora,7 lug. 2023,172,Politica
